id,title,date,year,url,domain,source_name,source_type,collector,browser_family,incident_types,seeded,extension_related,incident_like,note,description
news-security-malicious-chrome-extensions-can-spoof-password-managers-in-new-attack,Malicious Chrome extensions can spoof password managers in new attack,2025-03-06,2025,https://www.bleepingcomputer.com/news/security/malicious-chrome-extensions-can-spoof-password-managers-in-new-attack/,bleepingcomputer.com,Bleeping Computer,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+malicious&format=rss,chrome,malicious-extension,False,True,True,,"A newly devised ""polymorphic"" attack allows malicious Chrome extensions to morph into other browser extensions, including password managers, crypto wallets, and banking apps, to steal sensitive ..."
polymorphic-extensions-the-silent-data-thieves,This Browser Hack Can Steal Everything : Polymorphic Extensions,2025-03-11,2025,https://www.geeky-gadgets.com/polymorphic-extensions-the-silent-data-thieves/,geeky-gadgets.com,Geeky Gadgets,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+vulnerability&format=rss,edge,malicious-extension,False,True,True,,A recent security demonstration has revealed a sophisticated cyberattack targeting browser extensions known as “polymorphic extensions.” These malicious tools exploit the permissions granted to ...
tech-dangerous-chrome-extensions-mimic-password-managers,Dangerous Chrome extensions mimic password managers,2025-03-13,2025,https://www.foxnews.com/tech/dangerous-chrome-extensions-mimic-password-managers,foxnews.com,Fox News,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+malicious&format=rss,chrome|edge|firefox,other,False,True,False,,"Chrome extensions are incredibly useful, whether you want to block ads, track the best deals or enhance your browsing experience. They can be downloaded from the Chrome Web Store, which functions like ..."
2025-03-237454-private-keys-may-be-exposed-via-critical-vulnerability-in-switchomega-a-chrome-proxy-switching-extension-report,"Private Keys May Be Exposed Via Critical Vulnerability In SwitchOmega, A Chrome Proxy-Switching Extension - Report | Crowdfund Insider",2025-03-17,2025,https://www.crowdfundinsider.com/2025/03/237454-private-keys-may-be-exposed-via-critical-vulnerability-in-switchomega-a-chrome-proxy-switching-extension-report/,crowdfundinsider.com,Crowdfund Insider,bing-news-rss,https://www.bing.com/news/search?q=browser+extension+vulnerability&format=rss,chrome|opera,vulnerability,False,True,True,,"Blockchain security firm SlowMist released a detailed report exposing a critical vulnerability in SwitchyOmega, a widely used Chrome proxy-switching extension, highlighting its potential to steal ..."
blog-security-alert-christmas-day-chrome-extension-compromise,Security alert: Christmas Day Chrome extension compromise,2025-03-24,2025,https://expel.com/blog/security-alert-christmas-day-chrome-extension-compromise/,expel.com,Expel,sitemap,https://expel.com/post-sitemap.xml,chrome|edge|firefox,supply-chain,False,True,True,,"BLOG | RAPID RESPONSE Security alert: Christmas Day Chrome extension compromise Subscribe × MktoForms2.loadForm(""//info.expel.com"", ""986-VWL-068"", 1036); MktoForms2.whenReady(function (form){ //Add an onSuccess handler form.onSuccess(function(values, followUpUrl){ // GTM event for tracking window.dataLayer.push({ ""event"": ""mkto.form.success"", ""mkto.form.values"": values, ""conversionType"": ""subscribe"", ""eventTimeout"": 3000 }); location.href=""/subscribe-thanks""; //get the form's jQuery element and hide it..."
security-2025-04-researcher-uncovers-dozens-of-sketchy-chrome-extensions-with-4-million-installs,Researcher uncovers dozens of sketchy Chrome extensions with 4 million installs,2025-04-10,2025,https://arstechnica.com/security/2025/04/researcher-uncovers-dozens-of-sketchy-chrome-extensions-with-4-million-installs/,arstechnica.com,Ars Technica,bing-news-rss,https://www.bing.com/news/search?q=site%3Aarstechnica.com+browser+extension+malicious&format=rss,chrome,other,False,True,False,,Google is hosting dozens of extensions in its Chrome Web Store that perform suspicious actions on the more than 4 million devices that have installed them and that their developers have taken pains to ...
2025-05-100-fake-chrome-extensions-found-html,"100+ Fake Chrome Extensions Found Hijacking Sessions, Stealing Credentials, Injecting Ads",2025-05-20,2025,http://thehackernews.com/2025/05/100-fake-chrome-extensions-found.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,malicious-extension,False,True,True,,"An unknown threat actor has been attributed to creating several malicious Chrome Browser extensions since February 2024 that masquerade as seemingly benign utilities but incorporate covert functionality to exfiltrate data, receive commands, and execute arbitrary code. ""The actor creates websites that masquerade as legitimate services, productivity tools, ad and media creation or analysis"
blog-layerx-reveals-40malicious-browser-extensions,LayerX Reveals 40+ Malicious Browser Extensions - LayerX,2025-05-22,2025,https://layerxsecurity.com/blog/layerx-reveals-40malicious-browser-extensions/,layerxsecurity.com,LayerX Security,sitemap,https://layerxsecurity.com/sitemap-posts.xml,chrome,malicious-extension,False,True,True,,"LayerX has identified over 40 malicious browser extensions that are part of three distinct phishing campaigns. The initial detection of this campaign was done by the DomainTools Intelligence (DTI) team, who identified a list of suspicious domains that were communicating with browser extensions masquerading as legitimate brands. However, while the research by DTI provided a […]"
thousands-of-chrome-extensions-are-tampering-with-security-headers,Thousands of Chrome extensions are tampering with security headers,2025-05-24,2025,https://therecord.media/thousands-of-chrome-extensions-are-tampering-with-security-headers,therecord.media,The Record,bing-news-rss,https://www.bing.com/news/search?q=site%3Atherecord.media+browser+extension+malicious&format=rss,chrome|opera,malicious-extension,False,True,True,,"Thousands of Google Chrome extensions available on the official Chrome Web Store are tampering with security headers on popular websites, putting users at risk of a wide range of web-based attacks."
sites-zakdoffman-2025-05-30-googles-new-chrome-update-do-not-ignore-june-5-deadline,Google’s New Chrome Update—Do Not Ignore June 5 Deadline,2025-05-30,2025,https://www.forbes.com/sites/zakdoffman/2025/05/30/googles-new-chrome-update-do-not-ignore-june-5-deadline/,forbes.com,Forbes,bing-news-rss,https://www.bing.com/news/search?q=chrome+extension+vulnerability&format=rss,chrome,other,False,True,False,,"Republished on May 30 with new security protections for Chrome extensions, “the most underrated identity security threats to both individuals and enterprises.” Google has just updated Chrome again, ..."
